Time,Temperature Avg (°F),Dew Point Avg (°F),Humidity Avg (%),Wind Speed Avg (mph),Pressure Avg (in),Precipitation (in)
1,65.8,51.3,56.5,5.2,30.0,0.00
2,67.7,56.1,58.5,5.7,30.0,0.00
3,66.6,55.3,56.0,8.2,30.0,0.00
4,69.4,63.2,62.3,11.2,30.0,0.00
5,70.8,66.7,65.2,11.7,29.9,0.00
6,63.0,48.0,50.8,10.0,29.9,0.00
7,60.3,48.0,47.5,4.0,30.0,0.00
8,62.9,59.4,59.4,4.3,30.0,0.01
9,63.8,63.8,63.0,0.0,29.9,0.00
10,70.8,67.4,67.3,13.4,29.9,0.03
11,64.8,51.1,55.0,7.7,30.0,0.00
12,63.7,50.4,52.7,3.6,30.0,0.00
13,65.9,57.2,58.0,5.4,30.0,0.00
14,69.8,59.8,60.0,10.6,29.9,0.22
15,75.2,65.0,68.4,14.8,30.1,0.00
16,77.7,71.8,70.5,11.0,30.1,0.00
17,69.3,55.2,58.6,9.1,30.0,0.00
18,64.5,43.5,49.1,4.5,30.0,0.00
19,65.8,60.0,60.8,9.6,30.0,0.00
20,67.9,56.0,61.0,0.0,30.1,0.00
21,62.1,53.1,58.6,7.1,30.0,0.00
22,61.8,44.5,53.7,4.3,30.1,0.00
23,66.5,57.0,58.0,5.8,30.1,0.00
24,71.2,64.3,67.7,7.9,30.1,0.00
25,74.3,66.8,68.6,0.0,30.1,0.00
26,73.9,60.1,63.3,0.0,30.0,0.00
27,70.4,60.2,61.6,6.4,30.0,0.00
28,70.9,58.3,61.3,0.0,30.1,0.00
29,70.6,60.0,61.3,0.0,30.1,0.00
30,75.8,65.4,70.1,5.8,30.1,0.00
31,73.6,66.5,69.6,9.2,30.0,0.61
32,74.9,70.2,69.3,4.2,30.0,0.01
33,76.7,69.7,68.3,9.8,30.1,0.00
34,78.9,69.7,69.3,11.0,30.1,0.00
35,79.2,69.8,68.5,11.4,30.2,0.00